,age,expenses,financial_status,experience,estimated_period,unwilling_toAccept,scenario,sum_scores,salary
195,3,1,3,6,2,1,1,3,88726750
196,3,2,1,4,4,4,4,4,4534303
197,1,2,4,6,4,3,1,3,33907594
198,1,1,1,1,1,1,1,1,22343123
199,1,2,1,6,1,4,4,3,97913413
200,4,2,2,6,2,2,1,3,15162892
201,3,2,2,2,3,3,2,3,7700021
202,1,1,1,1,1,1,1,1,9530952
203,1,4,4,3,3,3,3,3,98257419
204,4,4,4,5,4,4,4,5,26183755
205,1,1,1,1,1,1,1,1,97317052
206,3,2,1,8,3,3,2,4,99427957
207,1,1,1,1,1,1,1,1,42559016
208,4,3,3,4,1,3,2,3,90593982
209,1,1,1,1,1,1,1,1,62426610
210,4,2,1,6,4,2,3,4,50302990
211,2,3,4,7,4,4,1,4,81078543
212,2,3,4,1,4,4,3,3,99890672
213,4,4,4,7,4,4,4,5,34681450
214,1,3,1,2,4,1,1,2,99284454
215,2,1,2,8,4,2,4,4,94471484
216,3,2,4,2,1,3,2,3,59598678
217,2,1,3,5,2,4,2,3,84561863
218,4,1,4,1,1,3,1,2,70272901
219,4,4,2,2,1,3,3,3,11584505
220,3,2,1,6,3,1,4,3,77140604
221,1,4,4,1,4,1,2,3,69358686
222,2,3,3,4,2,1,3,3,55938577
223,1,3,1,1,1,1,4,2,33097740
224,4,4,4,6,4,4,4,5,95219579
225,1,4,1,8,4,4,4,4,51824905
226,4,3,3,2,3,4,2,3,95337667
227,1,2,1,1,4,1,1,2,11865838
228,1,1,1,8,1,3,3,3,87056300
229,1,3,3,7,3,1,3,3,54980754
230,1,1,1,1,1,1,1,1,82773553
231,1,1,1,1,1,1,1,1,80268400
232,2,1,4,6,2,1,2,3,4686446
233,3,1,4,7,1,4,1,3,77602639
234,1,3,2,1,1,3,2,2,73988971
235,1,1,1,4,4,4,2,3,25095465
236,1,1,1,1,1,1,1,1,27521775
237,4,2,4,4,1,1,1,3,38376239
238,3,4,2,6,3,2,2,4,4182327
239,1,1,3,1,4,4,2,3,95442389
240,3,3,1,1,4,4,2,3,52322846
241,1,3,2,3,2,4,4,3,42187772
242,1,1,1,1,1,1,1,1,52388335
243,1,2,3,5,1,1,1,2,34794131
244,3,4,3,5,4,1,1,3,46418438
245,1,2,3,8,4,4,3,4,90070352
246,2,2,3,8,3,3,4,4,62581821
247,2,1,3,8,1,2,3,3,80554178
248,2,4,2,4,2,3,2,3,63033742
249,2,4,1,2,1,4,1,2,37824561
250,1,3,2,8,2,4,2,4,13340666
251,1,1,1,1,1,1,1,1,24871757
252,4,4,4,8,4,4,4,5,21862256
253,3,4,4,4,1,1,4,3,4123274
254,3,2,3,8,2,4,1,4,70544292
255,4,1,3,1,4,1,1,2,95335496
256,3,2,2,6,4,1,3,3,30634847
257,4,4,4,7,4,4,4,5,78060659
258,4,1,4,8,4,4,4,5,55818133
259,2,2,2,2,1,2,1,2,69714869
260,2,2,2,7,2,1,1,3,22228258
261,1,3,3,3,1,3,1,2,7877561
262,1,3,2,3,2,1,1,2,10585401
263,2,1,3,3,3,4,4,3,69711270
264,1,1,1,1,1,1,1,1,80733327
265,2,4,4,7,3,2,1,4,57272238
266,2,2,4,4,4,2,1,3,14006475
267,4,1,1,3,2,3,2,3,8711997
268,2,3,4,6,4,4,4,5,67044278
269,3,2,2,2,1,2,3,2,60846679
270,2,4,2,7,1,1,1,3,23683846
271,2,2,1,6,1,2,3,3,19815351
272,4,4,4,5,4,4,4,5,22764780
273,4,4,3,2,2,4,2,3,47005173
274,1,1,1,1,1,1,1,1,19295991
275,2,1,1,6,1,1,4,3,70359918
276,1,4,3,2,4,4,2,3,6549742
277,3,3,4,1,3,2,4,3,20322625
278,1,1,4,8,1,2,3,3,33055430
279,1,1,2,7,2,2,2,3,22116576
280,2,1,4,8,2,2,3,4,92551360
281,1,1,1,1,1,1,1,1,23830709
282,2,1,2,7,3,1,2,3,97322098
283,4,4,4,8,4,4,4,5,63794331
284,4,4,4,5,4,4,4,5,91653791
285,1,1,3,7,1,1,1,2,4652183
286,1,1,3,3,4,2,4,3,25520758
287,1,3,4,6,4,3,2,4,25532669
288,2,2,4,4,2,1,2,3,91515516
289,4,1,3,8,1,3,3,4,64497640
290,4,1,1,4,4,3,1,3,63280080
291,4,2,2,2,1,4,3,3,32903468
292,2,3,2,6,3,4,1,3,3126876
293,3,2,1,4,2,4,4,3,49719991
294,4,2,2,4,1,4,4,3,93275744
295,2,1,2,1,4,1,4,2,44003577
296,3,1,1,3,3,2,4,3,64800489
297,3,1,1,6,1,4,4,3,35617269
298,3,2,3,6,4,1,2,3,30841977
299,2,2,2,4,4,4,3,3,30972898
300,3,2,1,4,4,4,2,3,14602844
301,1,2,4,6,3,4,1,3,85840448
302,3,2,1,7,4,4,3,4,84950638
303,1,1,2,1,2,3,4,2,70237070
304,1,1,1,1,1,1,1,1,99715610
305,3,2,3,6,4,3,4,4,52414959
306,1,1,3,3,2,2,4,3,1860636
307,3,4,3,5,2,4,2,4,41452536
308,1,1,1,1,1,1,1,1,91531756
309,2,2,4,8,1,2,2,3,92524016
310,4,4,4,8,4,4,4,5,7488872
311,3,3,3,2,2,3,1,3,44707395
312,1,3,1,1,3,2,4,2,9847384
313,3,4,1,2,3,1,4,3,78691450
314,1,1,1,1,1,1,1,1,91797723
315,4,3,4,6,2,1,4,4,10031528
316,4,3,4,2,2,3,4,4,76268868
317,4,4,2,2,2,2,4,3,51178753
318,2,3,1,6,2,1,2,3,54377144
319,2,3,2,4,1,1,1,2,18955117
320,4,3,4,4,1,4,3,4,44037697
321,2,3,4,7,3,3,1,4,65805316
322,1,1,4,1,3,4,1,2,10579417
323,1,1,2,3,1,2,1,2,14417592
324,4,3,4,1,2,1,2,3,71401032
325,2,4,4,2,3,3,3,3,84742621
326,3,2,4,3,3,3,2,3,39785773
327,1,3,2,3,1,4,3,3,5605423
328,2,2,1,8,3,3,1,3,55715079
329,2,1,1,3,4,4,1,3,89496757
330,2,1,4,6,3,1,2,3,75875528
331,4,3,3,3,2,1,1,3,57488775
332,4,2,3,4,2,2,1,3,81817320
333,2,2,3,3,1,3,2,3,89590819
334,4,1,2,1,3,2,1,2,22526312
335,3,1,2,6,2,4,2,3,79888236
336,1,1,4,5,3,3,3,3,57874917
337,3,1,2,4,2,1,4,3,80246266
338,1,2,2,5,4,3,1,3,30553616
339,4,4,4,4,3,3,4,4,23637654
340,1,2,3,8,4,2,1,3,61383482
341,3,4,2,8,4,2,3,4,73925641
342,1,2,3,4,1,2,4,3,14874426
343,3,3,3,7,1,2,3,4,18209818
344,1,1,3,7,3,2,3,3,40892730
345,3,3,2,1,2,1,2,2,90616600
346,4,1,3,8,1,2,1,3,7369140
347,2,3,2,1,3,3,2,3,1947912
348,1,1,4,8,4,1,1,3,77977587
349,2,4,2,3,1,4,4,3,26841368
350,3,4,1,1,1,2,4,3,36981108
351,4,1,2,1,3,1,4,3,57905582
352,1,1,1,1,1,1,1,1,11534288
353,4,3,1,4,2,4,4,4,66357118
354,2,2,4,6,3,1,3,3,11482312
355,4,2,1,2,2,4,4,3,65916935
356,2,1,3,2,3,3,2,3,47421634
357,4,2,1,7,2,3,2,3,84904198
358,3,1,1,5,2,2,2,3,62209106
359,1,2,2,8,4,3,3,4,22581021
360,2,2,3,8,1,4,2,4,89555497
361,2,2,4,3,1,1,4,3,90306322
362,4,3,2,2,3,4,1,3,90005140
363,3,4,3,5,3,3,3,4,65787722
364,2,3,3,6,1,4,2,3,50009024
365,1,2,2,8,3,4,2,4,51438861
366,3,1,2,6,1,3,4,3,47227057
367,1,1,4,7,3,2,4,4,61805390
368,3,3,2,2,3,3,2,3,12780109
369,2,1,4,6,2,2,1,3,77950913
370,3,4,1,6,3,4,4,4,30942757
371,3,3,4,1,3,4,4,4,30097081
372,3,3,3,8,2,4,3,4,24494540
373,1,1,1,1,1,1,1,1,1976040
374,1,1,3,3,2,1,4,2,7562608
375,4,3,2,6,2,4,2,4,54346671
376,2,1,2,5,1,2,1,2,15839952
377,1,2,3,6,4,2,2,3,90238094
378,1,1,1,1,1,1,1,1,44420601
379,4,3,2,2,1,4,3,3,48889731
380,2,3,1,1,2,3,3,2,6011193
381,1,2,4,6,2,3,2,3,85118843
382,3,2,3,8,2,3,1,4,18203471
383,1,1,2,6,3,1,2,3,54428719
384,1,4,4,5,1,4,1,3,21625654
385,4,4,1,7,4,4,4,5,42195288
386,2,1,4,4,1,1,3,3,25989069
387,3,1,1,2,1,4,2,2,99037277
388,2,2,2,5,4,3,2,3,73319134
389,3,4,2,4,1,1,2,3,5771817
390,4,3,1,1,1,4,3,3,83553862
391,4,3,4,4,3,4,2,4,70689543
392,3,1,1,3,4,4,3,3,98247661
393,1,1,2,5,4,4,3,3,50509480
394,4,2,3,6,2,2,2,3,36136948
395,4,2,3,8,1,1,3,4,40362742
396,4,1,3,5,2,3,2,3,61802028
397,4,1,2,1,4,1,1,2,76376263
398,1,3,3,7,3,3,1,3,53414321
399,1,1,1,1,1,1,1,1,5812812
400,3,1,1,2,2,4,2,2,77902579
401,4,4,4,1,2,3,2,3,59620009
402,3,4,4,5,2,2,3,4,38348451
403,2,4,2,6,2,2,3,3,60888870
404,4,4,2,6,2,1,2,3,89000637
405,1,1,1,1,1,1,1,1,44314108
406,3,3,1,1,2,1,3,2,71765918
407,1,4,2,7,1,3,1,3,57823122
408,3,1,1,2,1,1,1,1,2992840
409,1,1,1,1,1,1,1,1,47761219
410,1,3,2,5,2,3,3,3,80155109
411,4,4,1,7,3,3,2,4,95965089
412,3,2,3,6,2,2,2,3,99481978
413,1,1,3,4,1,3,3,3,29574157
414,4,4,4,8,4,4,4,5,81717476
415,1,3,4,4,3,4,4,4,76955527
416,1,1,1,1,1,1,1,1,71838953
417,3,3,1,4,4,2,1,3,91337271
418,4,2,2,2,2,2,2,3,34161805
419,1,1,2,1,2,1,3,2,76540198
420,4,4,2,1,4,1,4,3,24145411
421,3,1,3,2,3,4,3,3,32861928
422,3,1,1,2,3,4,3,3,80125042
423,3,1,1,8,4,4,1,4,46424214
424,4,4,4,8,4,4,4,5,40185183
425,1,2,4,2,1,1,2,2,81626841
426,4,1,2,4,2,2,1,3,36158791
427,1,1,1,1,1,1,1,1,10844887
428,1,2,2,1,1,1,4,2,58367092
429,4,4,4,8,4,4,4,5,9793381
430,1,3,1,3,1,4,1,2,21052279
431,3,1,4,8,1,2,4,4,49024468
432,1,1,1,1,1,1,1,1,9181487
433,2,4,2,4,1,3,2,3,13744419
434,1,4,4,3,4,2,1,3,3132476
435,2,4,2,7,4,2,1,4,69598126
436,3,4,2,8,3,4,2,4,93904713
437,1,3,2,5,2,3,1,3,87262059
438,1,1,1,1,1,1,1,1,35831005
439,2,3,1,2,4,4,3,3,54573676
440,2,2,1,2,3,1,1,2,21842832
441,4,4,3,1,2,2,3,3,24316879
442,4,4,4,6,4,4,4,5,98035898
443,4,3,3,8,3,2,3,4,42477243
444,1,1,1,1,1,1,1,1,79933795
445,4,4,3,8,1,4,2,4,84619540
446,4,2,3,3,3,4,2,3,14115101
447,4,1,3,7,3,4,1,4,98710064
448,1,1,1,1,1,1,1,1,2309248
449,3,3,2,1,2,3,2,3,76391734
450,1,1,1,1,1,1,1,1,67303537
451,2,1,2,6,4,1,1,3,79238629
452,2,4,1,3,4,2,1,3,44574287
453,2,4,2,1,3,4,1,3,24413566
454,3,2,2,7,1,3,2,3,5575142
455,1,1,1,1,1,1,1,1,16014426
456,3,1,4,5,2,4,1,3,8513602
457,3,1,3,5,4,3,3,4,44251744
458,1,1,1,1,1,1,1,1,91053882
459,1,1,1,1,1,1,1,1,52870103
460,2,3,1,2,2,1,3,2,14972554
461,1,1,3,5,1,1,4,3,30913280
462,2,4,3,1,3,4,2,3,18157863
463,2,4,1,8,4,3,3,4,6857784
464,2,4,3,1,1,1,3,2,93290724
465,3,4,4,8,3,2,3,5,2150343
466,3,3,2,3,2,4,4,3,47853403
467,3,3,2,1,4,2,3,3,83876816
468,1,2,2,6,1,3,3,3,4877711
469,1,1,1,1,1,1,1,1,26915734
470,2,1,1,6,1,4,1,3,29645369
471,1,1,1,1,1,1,1,1,98047323
472,2,3,2,2,2,3,3,3,71150456
473,1,3,4,7,1,4,3,4,93670541
474,4,1,1,6,2,4,4,4,69274981
475,3,3,4,3,4,2,4,4,56090789
476,1,1,2,6,1,2,4,3,78286148
477,2,1,4,8,4,4,2,4,9167718
478,3,2,4,7,2,1,4,4,38860988
479,4,3,4,5,4,2,1,4,76213414
480,2,2,3,5,2,3,2,3,8823529
481,1,1,1,1,1,1,1,1,78068435
482,1,1,3,1,2,4,2,2,89159531
483,1,1,3,8,3,1,2,3,63770791
484,1,1,1,1,1,1,1,1,28643137
485,3,3,2,3,2,2,1,3,19108486
486,2,1,4,3,1,4,3,3,4214978
487,1,1,1,1,1,1,1,1,83531366
488,1,1,1,1,1,1,1,1,12699251
489,2,1,3,2,3,3,4,3,43739785
490,1,1,1,1,1,1,1,1,15063109
491,2,1,2,2,3,4,1,2,65660127
492,3,2,2,8,3,2,2,4,43820592
493,4,4,4,7,4,4,4,5,46312193
494,1,3,2,6,1,2,4,3,4998188
495,3,1,3,3,3,3,3,3,17355246
496,1,3,3,2,3,3,3,3,86530594
497,2,1,1,6,4,1,2,3,87268703
498,4,4,4,4,2,3,2,4,13779827
499,3,2,1,7,3,2,2,3,70431413
500,3,1,1,7,4,4,2,4,39516873
501,2,3,4,8,3,1,1,4,61350808
502,1,1,3,2,1,3,2,2,71749140
503,1,4,2,7,2,4,2,4,49720504
504,1,1,1,1,1,1,1,1,3098958
505,1,1,1,1,1,1,1,1,76213188
506,1,3,2,1,4,1,2,2,76674195
507,4,4,4,6,4,4,4,5,23922960
508,1,1,1,1,1,1,1,1,14257066
509,2,1,4,5,4,4,2,4,38027416
510,2,2,2,3,4,4,1,3,94554979
511,3,1,2,4,1,1,1,2,60748541
512,1,3,3,3,1,1,2,2,62838257
513,4,1,3,8,2,1,4,4,81846450
514,3,4,3,4,2,2,2,3,48641428
515,4,1,2,4,1,2,1,2,11331511
516,1,2,1,1,3,1,4,2,15424067
517,1,2,2,4,3,4,1,3,9763110
518,1,3,3,4,1,2,4,3,96265659
519,4,3,3,3,2,1,3,3,54469053
520,3,4,1,3,1,2,4,3,42461467
521,2,3,1,2,2,2,3,2,80282622
522,1,1,1,1,1,1,1,1,87743920
523,3,2,1,6,4,3,4,4,77699161
524,2,4,2,8,1,2,1,3,5983651
525,2,2,3,2,2,2,1,2,21716629
526,4,1,4,2,3,1,3,3,65915578
527,3,3,2,2,2,2,3,3,59595263
528,1,1,1,1,1,1,1,1,15502808
529,3,3,4,4,3,4,1,4,96202067
530,2,1,1,6,4,2,3,3,46350006
531,1,4,4,8,2,2,2,4,21785714
532,2,3,3,4,4,1,3,3,62229853
533,4,4,4,6,4,4,4,5,34613168
534,3,2,4,1,3,4,1,3,18711395
535,4,1,2,1,2,1,3,2,26336986
536,3,2,2,6,4,3,2,4,14558003
537,1,1,1,1,1,1,1,1,9046800
538,1,1,1,1,1,1,1,1,23421219
539,1,2,2,8,1,1,3,3,29677334
540,1,1,2,8,3,4,1,3,99001355
541,2,3,3,5,2,2,3,3,81018783
542,3,3,1,8,4,4,1,4,74824534
543,2,2,1,7,1,4,4,3,44523447
544,3,2,3,3,4,3,3,3,19921043
545,4,4,4,5,4,4,4,5,16524266
546,4,3,3,1,3,1,4,3,23269972
547,4,1,1,3,3,4,2,3,12040161
548,4,2,2,4,1,2,3,3,69848867
549,4,4,2,6,4,1,1,4,74828403
550,1,3,3,2,2,4,3,3,62596031
551,4,3,4,2,2,1,3,3,54581838
552,3,4,1,1,2,4,4,3,50721290
553,2,2,1,2,1,4,2,2,38744856
554,1,4,1,7,2,3,4,4,6258686
555,1,4,3,2,2,4,3,3,8617479
556,1,2,1,8,4,3,4,4,40613759
557,2,2,2,2,3,2,4,3,52680331
558,1,1,1,5,2,2,1,2,89870929
559,2,3,3,6,1,4,4,4,59733959
560,4,4,4,8,4,4,4,5,39710824
561,2,1,2,4,1,1,1,2,66101186
562,2,3,4,3,3,4,4,4,17148913
563,4,4,4,5,4,4,4,5,36558700
564,4,4,4,8,4,4,4,5,58744147
565,2,2,3,2,3,3,1,3,8361956
566,2,2,3,8,2,1,3,3,54020464
567,2,1,4,7,4,2,3,4,12077788
568,2,4,3,2,3,3,1,3,33400423
569,1,1,1,1,1,1,1,1,42502489
570,2,3,2,5,3,4,1,3,24654169
571,1,2,2,8,3,2,1,3,16207855
572,4,3,4,8,2,2,2,4,64796268
573,4,1,3,3,1,3,2,3,70414376
574,4,2,4,1,2,3,4,3,69559852
575,3,3,1,4,2,4,4,3,66931315
576,4,4,4,8,4,4,4,5,74311365
577,4,4,4,8,4,4,4,5,23056701
578,1,2,1,3,4,4,3,3,21382552
579,4,4,4,7,4,4,4,5,28257864
580,4,4,3,3,3,1,2,3,62358663
581,2,1,4,8,3,4,3,4,41808321
582,4,2,4,8,3,3,2,4,86436791
583,1,1,3,7,3,3,4,4,37362985
584,1,2,3,8,4,2,4,4,34435781
585,3,3,1,2,1,3,1,2,12213015
586,4,1,1,2,3,4,1,3,38101750
587,2,2,3,5,2,4,2,3,98487498
588,3,4,2,4,3,3,3,4,56619723
589,2,4,3,2,2,4,1,3,29137649
590,2,1,3,2,3,3,1,2,65314315
591,1,3,1,8,3,1,2,3,75415972
592,3,1,3,7,3,1,3,3,43136729
593,4,4,4,5,4,4,4,5,79525379
594,1,4,4,8,4,1,4,4,89588482
595,4,4,4,5,4,4,4,5,12197541
596,2,3,2,4,4,3,1,3,73131134
597,1,1,1,1,1,1,1,1,17458205
598,4,4,4,6,3,4,2,5,12971037
599,1,1,1,1,1,1,1,1,91735258
600,1,1,1,1,1,1,1,1,33520263
601,1,3,2,1,3,2,1,2,17015891
602,4,4,4,8,4,4,4,5,20626277
603,3,1,4,2,3,1,3,3,52906986
604,3,4,2,3,1,1,3,3,94279582
605,1,1,1,1,1,1,1,1,77029118
606,1,4,2,5,4,1,1,3,49145422
607,2,1,1,5,2,3,4,3,52232222
608,4,4,4,8,4,4,4,5,12360020
609,2,1,3,7,4,4,4,4,90931680
610,3,4,2,5,4,3,1,4,79677251
611,3,3,1,8,3,2,4,4,17028399
612,1,1,1,1,1,1,1,1,19057520
613,4,2,1,2,4,2,4,3,90376440
614,1,1,3,7,2,1,4,3,56436963
615,2,1,3,6,2,3,4,3,43820924
616,2,3,2,8,4,1,2,4,63477735
617,1,1,3,3,3,4,1,3,23661390
618,3,1,3,8,4,3,1,4,70116386
619,2,3,1,7,2,1,3,3,97363838
620,2,1,4,3,3,2,4,3,74510006
621,1,1,1,1,1,1,1,1,76855931
622,1,2,4,7,1,3,4,4,2372664
623,1,3,3,8,2,4,1,4,84232902
624,1,1,1,1,1,1,1,1,1879145
625,4,3,1,6,2,2,4,4,46271689
626,2,3,2,5,4,1,4,3,44334711
627,2,3,2,6,2,4,2,3,38886253
628,2,3,4,6,2,2,3,4,61548344
629,2,3,2,8,2,4,3,4,61261612
630,2,1,3,1,4,2,2,2,65738243
631,3,2,4,7,1,1,4,4,3167573
